citation,year,journal,peer_reviewed,literature_cluster,study_context,thermal_method,tourism_role,decision_support_role,routing_or_screening,uncertainty_handling,main_finding,relevance_to_HATI,novelty_threat,where_cited_in_manuscript,priority
"Hot and bothered: heat effect on pedestrian route choice and accessibility",2024,(travel behaviour; preprint/TRB),partial,D;I,route-choice behaviour,heat exposure,none,behaviour analysis,routing/accessibility,none,heat alters pedestrian route choice and accessibility,context for accessibility; behavioural (we make no such claim),context,Literature 2,low
"Reachable Urban Cool Spots (RUCS) masterplan heat vulnerability",2025,(urban design; venue unconfirmed),partial,D;E,masterplan evaluation,microclimate/UTCI,none,planning metric,accessibility,none,globally comparable reachable-cool-spot score for masterplans,accessibility-metric precedent; not tourism screening,context,Literature 2,low
"Holiday Climate Index vs Tourism Climate Index inter-comparison (Europe)",2016,Atmosphere (MDPI),yes,G,tourism climate suitability,composite bioclimatic,tourism suitability index,composite scoring,screening (composite),none,HCI vs TCI differ; weighting/threshold choices matter,composite tradition HATI is the constraint-first alternative to,method precedent (contrast),Literature 2 / Methods 4.1 / Discussion,high
"Reliability and usability of tourism climate indices",2016,Earth Perspectives (Springer),yes,G,tourism climate indices critique,composite,tourism suitability,composite scoring,screening (composite),discusses weight sensitivity,tourism climate indices are weight/threshold sensitive,motivates constraint-first design,method precedent (contrast),Methods 4.1 / Discussion,high
"Projected climate suitability for Hungarian tourism (HCI/TCI)",2025,International Journal of Biometeorology,yes,G;B,national tourism suitability,composite HCI/TCI,tourism suitability index,composite scoring,screening (composite),none,recent HCI/TCI application to projected suitability,recent composite exemplar to contrast,supporting/contrast,Literature 2,medium
"Coastal Tourism Climate Index (CTCI)",2022,Sustainability (MDPI),yes,G,coastal tourism suitability,weighted sub-indices,tourism suitability index,composite scoring,screening (composite),none,five weighted sub-indices for coastal tourism,composite/weighted example,contrast,Literature 2,low
"Questionnaire validity of TCI (South Africa)",2025,International Journal of Biometeorology,yes,G,index validity,composite TCI,tourism suitability,composite scoring,screening (composite),none,tests TCI against stated preferences,composite-index validity critique,contrast,Discussion,low
"Decision making under uncertainty in participatory GIS",2025,International Journal of Geographical Information Science,yes,H;E,spatial decision support,none,none,uncertainty-aware SDSS,neither,accepts uncertainty as first-class,supports uncertainty-transparency framing,supporting,Methods 4.3 / Discussion,medium
"GIS-MCDA uncertainty and sensitivity analysis",2016,(GIScience; e.g. landslide susceptibility),yes,H;E;F,MCDA uncertainty,none,none,MCDA with sensitivity,screening (MCDA),weight-sensitivity analysis,confidence measurement under criterion-weight uncertainty,contrast: we avoid weighted criteria entirely,method precedent (contrast),Methods 4.4 / Discussion,low
"Site suitability evaluation for ecotourism (GIS & AHP)",2011,(Procedia; GIS-AHP),yes,E;F;G,tourism site suitability,none,tourism suitability,AHP composite,screening (MCDA),none,GIS-AHP weighted site suitability for tourism,exemplar of the weighted-MCDA tourism tradition we depart from,method precedent (contrast),Methods 4.4,low
"A framework for heat risk action planning for tourism",2026,Annals of Tourism Research,yes,B,tourism heat governance,none,destination heat governance,governance framework,neither,none,entry points to embed tourism in Heat Action Plans,CONTEXT: management gap HATI operationalises,context (not a method threat),Introduction / Literature 2 / Discussion,high
"Tourist demand and destination development under climate change",2025,Journal of Sustainable Tourism,yes,B;I,demand/adaptation,none,demand and adaptation,none,neither,none,complexities of demand and destination development under climate change,context for problem framing,context,Introduction,medium
"Tourism in a Warming Climate: adaptive responses in Southern Europe",2026,Sustainability (MDPI),yes,A;I;J,Southern Europe tourist adaptation,none,tourist adaptation behaviour,none,neither,none,tourists adapt via temporal/spatial/activity shifts,bounds our scope (we make no behavioural claim),context,Introduction / Limitations,medium
"Climate change and international tourist loyalty (Spain)",2025,CaixaBank Research (institutional),no,I;J,Spain tourist substitution,none,substitution behaviour,none,neither,none,heat drives temporal and spatial substitution among Spain tourists,management context for substitution; grey literature,context,Introduction,low
"Extreme heat reduces and reshapes urban mobility",2025,(PNAS-class / PMC),yes,I,urban mobility under heat,none,aggregate mobility,none,neither,none,heat suppresses and reshapes urban activity in aggregate,established knowledge; not a HATI claim,context,Introduction,medium
"Effect of outdoor thermal comfort on tourist visits in Sevilla and Madrid plazas",2022,Environmental Science and Pollution Research,yes,A;J,Madrid/Sevilla plaza comfort,UTCI,tourist presence vs comfort,none,neither,none,tourist comfort range in historical plazas 24.5-29.8C,Madrid-specific local grounding,supporting/context,Study area / Discussion,medium
"Are Barcelona's climate shelters accessible to vulnerable residents? (mobility justice)",2025,Cities,yes,J;D,Spanish cool-refuge accessibility,none,none,accessibility equity,accessibility,none,spatial proximity alone insufficient for equitable access,supports straight-line-distance limitation and visitor-vs-resident distinction,context,Discussion / Limitations,medium
"Urban adaptation: climate refuge networks vs thermal stress",2026,Urban Science (MDPI),yes,J,cool-refuge networks,none,none,network planning,accessibility,none,refuge networks mitigate thermal stress,context for indoor-refuge concept,context,Discussion,low
"Mapping exposure of tourism to weather extremes (gridded dataset)",2024,Environmental Research Letters,yes,A;B,tourism weather-extreme exposure,none,tourism exposure,none,neither,none,spatially explicit gridded tourism heat exposure varies locally,context: tourism heat exposure is spatially heterogeneous,context,Introduction,low
"Beyond Land Surface Temperature: explainable spatial ML on heat stress",2026,(arXiv preprint),no,C,LST vs human heat stress,ML on morphology,none,none,neither,feature attribution,LST inadequate as human-centric heat-stress proxy,supports LST-is-not-comfort and proxy-limitation points,supporting,Methods 4.1 / Discussion,medium
"GSM-UTCI multimodal deep learning UTCI prediction (Philadelphia)",2025,(arXiv preprint),no,C,ML UTCI prediction,ML/UTCI,none,none,neither,none,deep-learning high-res UTCI prediction,cite once to justify why ML is deliberately out of scope,none (excluded by charter),Methods (one line),low
"Optimal strategy on radiation estimation for UTCI in tourism cities (China)",2022,International Journal of Environmental Research and Public Health,yes,C;A,tourism-city UTCI computation,UTCI radiation estimation,tourism-city climate,none,neither,none,radiation-estimation choices affect UTCI in tourism cities,supports care in radiation forcing (our solar sensitivity),supporting,Methods 4.3,low
"Comparing UTCI with selected indices in BWh courtyards",2024,Urban Climate,yes,C,index comparison,UTCI vs others,none,none,neither,none,UTCI vs alternative indices in hot-dry courtyards,supports UTCI choice justification,supporting,Methods 4.2,low
"OECD Tourism Trends and Policies 2026: adapting tourism to extreme weather",2026,OECD (institutional report),no,B,tourism policy,none,destination policy,governance context,neither,none,tourism must integrate extreme-weather adaptation in crisis management,institutional management context,context,Introduction,low
"Hyperlocal monitoring of urban activity reveals responses to heat exposure",2026,(arXiv preprint),no,A;I,POI activity under heat,none,POI activity,none,neither,none,tourism/culture POI activity shifts with temperature bins,context for heat-tourism interaction (aggregate, not our claim),context,Introduction,low
