asset_id,name,morphology,timestamp,baseline_utci_10m,baseline_feasibility,solar_scenario_utci_min,solar_scenario_utci_max,solar_decision_flip,geometry_confidence_flag,robustness,reason
A16,Fuente de Neptuno,plaza_hardscape,15:00,45.0,FEASIBLE WITH CONDITIONS,43.7,45.1,False,NOT AUDITED,BOUNDARY,"UTCI (43.7-45.1C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A17,Estatua de Goya,street_corridor,15:00,42.6,FEASIBLE WITH CONDITIONS,41.7,42.6,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,15:00,44.5,FEASIBLE WITH CONDITIONS,43.6,44.6,False,NOT AUDITED,BOUNDARY,"UTCI (43.6-44.6C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A19,Real Observatorio de Madrid,attraction_exterior,15:00,41.4,FEASIBLE WITH CONDITIONS,41.0,41.4,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A20,Parque del Retiro,park_garden,15:00,38.6,FEASIBLE WITH CONDITIONS,38.6,38.7,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A21,Real Jardín Botánico de Madrid,park_garden,15:00,38.4,FEASIBLE WITH CONDITIONS,38.3,38.5,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A22,Palacio de Cristal,attraction_exterior,15:00,43.9,FEASIBLE WITH CONDITIONS,43.0,43.9,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A23,Jardines de Cecilio Rodríguez,park_garden,15:00,44.4,FEASIBLE WITH CONDITIONS,43.3,44.4,False,POSSIBLY STALE,UNSTABLE,geometry-flagged POSSIBLY STALE and baseline UTCI (44.4C) within 2.0C of the 46C NOT-RECOMMENDED threshold - plausible canopy correction could flip this decision
A24,La Rosaleda,park_garden,15:00,45.0,FEASIBLE WITH CONDITIONS,44.1,45.1,False,POSSIBLY STALE,UNSTABLE,geometry-flagged POSSIBLY STALE and baseline UTCI (45.0C) within 2.0C of the 46C NOT-RECOMMENDED threshold - plausible canopy correction could flip this decision
A25,Jardín del Parterre,park_garden,15:00,45.0,FEASIBLE WITH CONDITIONS,44.0,45.0,False,PARTIALLY REPRESENTATIVE,BOUNDARY,"UTCI (44.0-45.0C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it; asset geometry-flagged PARTIALLY REPRESENTATIVE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found"
A26,Monumento a Alfonso XII,attraction_exterior,15:00,42.1,FEASIBLE WITH CONDITIONS,41.8,42.1,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A27,Jardines del Arquitecto Herrero Palacios,park_garden,15:00,43.5,FEASIBLE WITH CONDITIONS,42.5,43.6,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A14,Puerta de Alcalá,plaza_hardscape,18:00,42.7,FEASIBLE WITH CONDITIONS,42.2,43.0,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A15,Fuente de Cibeles,plaza_hardscape,18:00,44.2,FEASIBLE WITH CONDITIONS,42.8,45.2,False,NOT AUDITED,BOUNDARY,"UTCI (42.8-45.2C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A16,Fuente de Neptuno,plaza_hardscape,18:00,45.2,FEASIBLE WITH CONDITIONS,43.9,45.9,False,NOT AUDITED,BOUNDARY,"UTCI (43.9-45.9C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A17,Estatua de Goya,street_corridor,18:00,43.9,FEASIBLE WITH CONDITIONS,42.9,44.6,False,REPRESENTATIVE,BOUNDARY,"UTCI (42.9-44.6C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,18:00,43.0,FEASIBLE WITH CONDITIONS,42.5,43.2,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A19,Real Observatorio de Madrid,attraction_exterior,18:00,41.7,FEASIBLE WITH CONDITIONS,41.4,41.8,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A20,Parque del Retiro,park_garden,18:00,40.1,FEASIBLE WITH CONDITIONS,40.1,40.1,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A21,Real Jardín Botánico de Madrid,park_garden,18:00,39.9,FEASIBLE WITH CONDITIONS,39.9,39.9,False,REPRESENTATIVE,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; geometry-audited REPRESENTATIVE
A22,Palacio de Cristal,attraction_exterior,18:00,42.9,FEASIBLE WITH CONDITIONS,42.4,43.1,False,NOT AUDITED,ROBUST,no decision flip under any tested solar scenario; UTCI not near a threshold; not part of the 8-asset geometry audit sample
A23,Jardines de Cecilio Rodríguez,park_garden,18:00,41.9,FEASIBLE WITH CONDITIONS,41.6,42.0,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A24,La Rosaleda,park_garden,18:00,45.4,FEASIBLE WITH CONDITIONS,44.2,46.0,True,POSSIBLY STALE,UNSTABLE,decision changes under solar scenario(s): REAL_SATELLITE
A25,Jardín del Parterre,park_garden,18:00,42.9,FEASIBLE WITH CONDITIONS,42.5,43.1,False,PARTIALLY REPRESENTATIVE,BOUNDARY,asset geometry-flagged PARTIALLY REPRESENTATIVE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
A26,Monumento a Alfonso XII,attraction_exterior,18:00,43.9,FEASIBLE WITH CONDITIONS,43.2,44.3,False,NOT AUDITED,BOUNDARY,"UTCI (43.2-44.3C across scenarios) within 2.0C of a decision threshold (32/46C), though no scenario actually crossed it"
A27,Jardines del Arquitecto Herrero Palacios,park_garden,18:00,42.2,FEASIBLE WITH CONDITIONS,41.7,42.4,False,POSSIBLY STALE,BOUNDARY,asset geometry-flagged POSSIBLY STALE (Audit 2) - reduced confidence in the exact modelled value even though no threshold crossing was found
