asset_id,name,indoor_outdoor,morphology,timestamp,tmrt_mean_10m,tmrt_centroid,tmrt_p90_10m,utci_mean_10m,utci_centroid,utci_p90_10m,utci_category,feasibility_phase1_proxy,feasibility_phase2_physical,reclassified,reclassification_direction,evidence_note
A20,Parque del Retiro,outdoor,park_garden,15:00,39.1,65.1,38.6,38.6,44.9,38.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A21,Real Jardín Botánico de Madrid,outdoor,park_garden,15:00,38.1,37.3,37.9,38.4,38.2,38.3,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A22,Palacio de Cristal,outdoor,attraction_exterior,15:00,60.9,67.6,69.0,43.9,45.5,45.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A23,Jardines de Cecilio Rodríguez,outdoor,park_garden,15:00,63.0,65.9,65.9,44.4,45.1,45.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A24,La Rosaleda,outdoor,park_garden,15:00,65.7,65.7,65.8,45.0,45.0,45.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A25,Jardín del Parterre,outdoor,park_garden,15:00,65.6,65.6,65.8,45.0,45.0,45.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A26,Monumento a Alfonso XII,outdoor,attraction_exterior,15:00,53.6,39.3,67.1,42.1,38.6,45.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A27,Jardines del Arquitecto Herrero Palacios,outdoor,park_garden,15:00,59.6,65.4,65.6,43.5,45.0,45.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A01,Museo del Prado,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A03,Museo Thyssen-Bornemisza,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A04,CaixaForum Madrid,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A05,Museo Naval de Madrid,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A06,Museo Nacional de Antropología,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A07,Museo Nacional de Artes Decorativas,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A08,Real Fábrica de Tapices,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A09,Madrid-Puerta de Atocha-Almudena Grandes,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A10,Estación del Arte,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A11,Retiro,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A12,Banco de España,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A13,Jardín Tropical,indoor,indoor,18:00,,,,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,indoor asset - SOLWEIG models outdoor environment only; Phase 1 indoor rule retained unchanged
A14,Puerta de Alcalá,outdoor,plaza_hardscape,18:00,51.0,41.7,63.4,42.7,40.6,45.6,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,True,physical model LESS restrictive (proxy overestimated hazard),"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A15,Fuente de Cibeles,outdoor,plaza_hardscape,18:00,57.8,39.3,59.9,44.2,40.0,44.7,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,True,physical model LESS restrictive (proxy overestimated hazard),"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A16,Fuente de Neptuno,outdoor,plaza_hardscape,18:00,61.7,59.6,62.7,45.2,44.7,45.4,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,True,physical model LESS restrictive (proxy overestimated hazard),"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A17,Estatua de Goya,outdoor,street_corridor,18:00,56.4,60.2,63.3,43.9,44.8,45.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,outdoor,plaza_hardscape,18:00,52.2,37.9,64.6,43.0,39.7,45.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A19,Real Observatorio de Madrid,outdoor,attraction_exterior,18:00,46.4,40.6,62.6,41.7,40.3,45.4,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,True,physical model LESS restrictive (proxy overestimated hazard),"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A20,Parque del Retiro,outdoor,park_garden,18:00,39.5,39.2,39.5,40.1,40.0,40.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A21,Real Jardín Botánico de Madrid,outdoor,park_garden,18:00,38.8,38.6,38.9,39.9,39.9,40.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A22,Palacio de Cristal,outdoor,attraction_exterior,18:00,51.7,65.0,65.4,42.9,46.0,46.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A23,Jardines de Cecilio Rodríguez,outdoor,park_garden,18:00,47.4,41.5,61.5,41.9,40.5,45.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A24,La Rosaleda,outdoor,park_garden,18:00,62.6,62.8,62.8,45.4,45.4,45.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
A25,Jardín del Parterre,outdoor,park_garden,18:00,52.0,41.9,62.6,42.9,40.6,45.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=MODERATE; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A26,Monumento a Alfonso XII,outdoor,attraction_exterior,18:00,56.2,41.8,64.6,43.9,40.6,45.9,Extreme heat stress,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,True,physical model LESS restrictive (proxy overestimated hazard),"phase1 exposure_state=HIGH; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=True"
A27,Jardines del Arquitecto Herrero Palacios,outdoor,park_garden,18:00,48.7,40.4,61.7,42.2,40.3,45.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"phase1 exposure_state=LOW; SOLWEIG 2.5m, 10m-buffer mean; representative_asset=False"
