asset_id,name,morphology,timestamp,utci_baseline,thermal_stress_state,utci_category_official,decision_state,feasibility_state,envelope_low,envelope_high,envelope_width,envelope_low_source,envelope_high_source,demonstrated_sensitivity_c,n_realizations,n_geometry_realizations,decision_confidence,robustness_phase2_1,confidence_changed_vs_phase2_1,uncertainty_reason
A24,La Rosaleda,park_garden,12:00,40.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,39.0,40.4,1.4,SENS_B_minus20pct,BASELINE,1.4,7,3,ROBUST,BOUNDARY,True,"envelope 39.0-40.4 C stays 5.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.4 C); no realization flips the decision"
A25,Jardín del Parterre,park_garden,12:00,40.3,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.9,40.3,1.4,SENS_B_minus20pct,BASELINE,1.4,4,0,ROBUST,BOUNDARY,True,"envelope 38.9-40.3 C stays 5.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.4 C); no realization flips the decision"
A26,Monumento a Alfonso XII,attraction_exterior,12:00,37.5,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,36.7,37.5,0.8,SENS_B_minus20pct,BASELINE,0.8,4,0,ROBUST,ROBUST,False,"envelope 36.7-37.5 C stays 4.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.8 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,park_garden,12:00,37.6,VERY_STRONG_HEAT_STRESS,Very strong heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,35.8,37.6,1.8,GEOM_wide,BASELINE,1.8,7,3,ROBUST,BOUNDARY,True,"envelope 35.8-37.6 C stays 3.8 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.8 C); no realization flips the decision"
A14,Puerta de Alcalá,plaza_hardscape,15:00,40.5,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,40.5,40.6,0.1,BASELINE,SENS_A_minus10pct,0.1,4,0,ROBUST,ROBUST,False,"envelope 40.5-40.6 C stays 5.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A15,Fuente de Cibeles,plaza_hardscape,15:00,44.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.4,44.5,2.1,SENS_B_minus20pct,REAL_SATELLITE,2.0,4,0,BOUNDARY,BOUNDARY,False,"no realization flips the decision, but envelope 42.4-44.5 C is within the row's demonstrated sensitivity (2.0 C) of a decision threshold (nearest 1.5 C away) - crisp single-value read would be false precision"
A16,Fuente de Neptuno,plaza_hardscape,15:00,45.0,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.7,45.1,1.4,SENS_B_minus20pct,REAL_SATELLITE,1.3,4,0,BOUNDARY,BOUNDARY,False,"no realization flips the decision, but envelope 43.7-45.1 C is within the row's demonstrated sensitivity (1.3 C) of a decision threshold (nearest 0.9 C away) - crisp single-value read would be false precision"
A17,Estatua de Goya,street_corridor,15:00,42.6,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.7,42.6,0.9,SENS_B_minus20pct,BASELINE,0.9,4,0,ROBUST,ROBUST,False,"envelope 41.7-42.6 C stays 3.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,15:00,44.5,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.6,44.6,1.0,SENS_B_minus20pct,REAL_SATELLITE,0.9,4,0,ROBUST,BOUNDARY,True,"envelope 43.6-44.6 C stays 1.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A19,Real Observatorio de Madrid,attraction_exterior,15:00,41.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.0,41.4,0.4,SENS_B_minus20pct,BASELINE,0.4,4,0,ROBUST,ROBUST,False,"envelope 41.0-41.4 C stays 4.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.4 C); no realization flips the decision"
A20,Parque del Retiro,park_garden,15:00,38.6,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.6,38.7,0.1,BASELINE,SENS_A_minus10pct,0.1,4,0,ROBUST,ROBUST,False,"envelope 38.6-38.7 C stays 6.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,park_garden,15:00,38.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,38.3,38.5,0.2,REAL_SATELLITE,SENS_B_minus20pct,0.1,4,0,ROBUST,ROBUST,False,"envelope 38.3-38.5 C stays 6.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A22,Palacio de Cristal,attraction_exterior,15:00,43.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.0,43.9,0.9,SENS_B_minus20pct,BASELINE,0.9,4,0,ROBUST,ROBUST,False,"envelope 43.0-43.9 C stays 2.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,park_garden,15:00,44.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.3,44.4,1.1,SENS_B_minus20pct,BASELINE,1.1,7,3,ROBUST,UNSTABLE,True,"envelope 43.3-44.4 C stays 1.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.1 C); no realization flips the decision"
A24,La Rosaleda,park_garden,15:00,45.0,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,44.1,45.1,1.0,SENS_B_minus20pct,REAL_SATELLITE,0.9,7,3,BOUNDARY,UNSTABLE,True,"no realization flips the decision, but envelope 44.1-45.1 C is within the row's demonstrated sensitivity (0.9 C) of a decision threshold (nearest 0.9 C away) - crisp single-value read would be false precision"
A25,Jardín del Parterre,park_garden,15:00,45.0,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,44.0,45.0,1.0,SENS_B_minus20pct,BASELINE,1.0,4,0,BOUNDARY,BOUNDARY,False,"no realization flips the decision, but envelope 44.0-45.0 C is within the row's demonstrated sensitivity (1.0 C) of a decision threshold (nearest 1.0 C away) - crisp single-value read would be false precision"
A26,Monumento a Alfonso XII,attraction_exterior,15:00,42.1,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.8,42.1,0.3,SENS_B_minus20pct,BASELINE,0.3,4,0,ROBUST,ROBUST,False,"envelope 41.8-42.1 C stays 3.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,park_garden,15:00,43.5,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.5,43.6,1.1,SENS_B_minus20pct,REAL_SATELLITE,1.0,7,3,ROBUST,BOUNDARY,True,"envelope 42.5-43.6 C stays 2.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A14,Puerta de Alcalá,plaza_hardscape,18:00,42.7,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.2,43.0,0.8,SENS_B_minus20pct,REAL_SATELLITE,0.5,4,0,ROBUST,ROBUST,False,"envelope 42.2-43.0 C stays 3.0 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A15,Fuente de Cibeles,plaza_hardscape,18:00,44.2,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.8,45.2,2.4,SENS_B_minus20pct,REAL_SATELLITE,1.4,4,0,BOUNDARY,BOUNDARY,False,"no realization flips the decision, but envelope 42.8-45.2 C is within the row's demonstrated sensitivity (1.4 C) of a decision threshold (nearest 0.8 C away) - crisp single-value read would be false precision"
A16,Fuente de Neptuno,plaza_hardscape,18:00,45.2,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.9,45.9,2.0,SENS_B_minus20pct,REAL_SATELLITE,1.3,4,0,BOUNDARY,BOUNDARY,False,"no realization flips the decision, but envelope 43.9-45.9 C is within the row's demonstrated sensitivity (1.3 C) of a decision threshold (nearest 0.1 C away) - crisp single-value read would be false precision"
A17,Estatua de Goya,street_corridor,18:00,43.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.9,44.6,1.7,SENS_B_minus20pct,REAL_SATELLITE,1.0,4,0,ROBUST,BOUNDARY,True,"envelope 42.9-44.6 C stays 1.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,plaza_hardscape,18:00,43.0,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.5,43.2,0.7,SENS_B_minus20pct,REAL_SATELLITE,0.5,4,0,ROBUST,ROBUST,False,"envelope 42.5-43.2 C stays 2.8 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A19,Real Observatorio de Madrid,attraction_exterior,18:00,41.7,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.4,41.8,0.4,SENS_B_minus20pct,REAL_SATELLITE,0.3,4,0,ROBUST,ROBUST,False,"envelope 41.4-41.8 C stays 4.2 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A20,Parque del Retiro,park_garden,18:00,40.1,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,40.1,40.1,0.0,BASELINE,BASELINE,0.0,4,0,ROBUST,ROBUST,False,"envelope 40.1-40.1 C stays 5.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,park_garden,18:00,39.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,39.9,39.9,0.0,BASELINE,BASELINE,0.0,4,0,ROBUST,ROBUST,False,"envelope 39.9-39.9 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A22,Palacio de Cristal,attraction_exterior,18:00,42.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.4,43.1,0.7,SENS_B_minus20pct,REAL_SATELLITE,0.5,4,0,ROBUST,ROBUST,False,"envelope 42.4-43.1 C stays 2.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,park_garden,18:00,41.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.6,42.0,0.4,SENS_B_minus20pct,REAL_SATELLITE,0.3,7,3,ROBUST,BOUNDARY,True,"envelope 41.6-42.0 C stays 4.0 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A24,La Rosaleda,park_garden,18:00,45.4,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,44.2,46.0,1.8,SENS_B_minus20pct,REAL_SATELLITE,1.2,7,3,UNSTABLE,UNSTABLE,False,"realization(s) ['REAL_SATELLITE'] cross the safety-critical 46 C boundary (envelope 44.2-46.0 C, baseline 45.4); materially different decision (NOT RECOMMENDED vs FEASIBLE WITH CONDITIONS)"
A25,Jardín del Parterre,park_garden,18:00,42.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,42.5,43.1,0.6,SENS_B_minus20pct,REAL_SATELLITE,0.4,4,0,ROBUST,BOUNDARY,True,"envelope 42.5-43.1 C stays 2.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.4 C); no realization flips the decision"
A26,Monumento a Alfonso XII,attraction_exterior,18:00,43.9,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,43.2,44.3,1.1,SENS_B_minus20pct,REAL_SATELLITE,0.7,4,0,ROBUST,BOUNDARY,True,"envelope 43.2-44.3 C stays 1.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.7 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,park_garden,18:00,42.2,VERY_STRONG_HEAT_STRESS,Extreme heat stress,AVOID_PROLONGED_OUTDOOR_EXPOSURE,FEASIBLE WITH CONDITIONS,41.6,42.4,0.8,GEOM_wide,REAL_SATELLITE,0.6,7,3,ROBUST,BOUNDARY,True,"envelope 41.6-42.4 C stays 3.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.6 C); no realization flips the decision"
